cod_insersao;descricao;cod_kit;cod_sku;descricao_sku;segmento;serie;volume;usuario
PG26ZA213TA00;26 CAPA LV ALUNO EF1 1O ANO 3O BI TAMANDARE;-;PG26ZA213TA00;26 CAPA LV ALUNO EF1 1O ANO 3O BI TAMANDARE                                          ;FUND AI;1O ANO;Volume 03;Aluno
PG26ZA213CM00;26 CAPA LV ALUNO EF1 1O ANO 3O BI CAMILLA MOREIRA;-;PG26ZA213CM00;26 CAPA LV ALUNO EF1 1O ANO 3O BI CAMILLA MOREIRA                                         ;FUND AI;1O ANO;Volume 03;Aluno
PG26ZA213GR00;26 CAPA LV ALUNO EF1 1O ANO 3O BI GABARITO RS;-;PG26ZA213GR00;26 CAPA LV ALUNO EF1 1O ANO 3O BI GABARITO RS                                        ;FUND AI;1O ANO;Volume 03;Aluno
PG26ZA213SA00;26 CAPA LV ALUNO EF1 1O ANO 3O BI SANTO ANJO;-;PG26ZA213SA00;26 CAPA LV ALUNO EF1 1O ANO 3O BI SANTO ANJO                                         ;FUND AI;1O ANO;Volume 03;Aluno
PG26ZA213UP00;26 CAPA LV ALUNO EF1 1O ANO 3O BI MUNDO UP;-;PG26ZA213UP00;26 CAPA LV ALUNO EF1 1O ANO 3O BI MUNDO UP;FUND AI;1O ANO;Volume 03;Aluno
83101070103;SAE ALUNO EF1 2O ANO SAE 3O BI;83101070103;-;-;-;-;-;-
83101070103;SAE ALUNO EF1 2O ANO SAE 3O BI;83101070103;PG26LA223SD00;26 LV ALUNO EF1 2O ANO 3O BI SAE                                                ;FUND AI;2O ANO;Volume 03;Aluno
83101070103;SAE ALUNO EF1 2O ANO SAE 3O BI;83101070103;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101070103;SAE ALUNO EF1 2O ANO SAE 3O BI;83101070103;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101070103;SAE ALUNO EF1 2O ANO SAE 3O BI;83101070103;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83101850103;SAE ALUNO EF1 2O ANO SAE 3O BI SEM ARTE E FILOSOFIA;83101850103;-;-;-;-;-;-
83101850103;SAE ALUNO EF1 2O ANO SAE 3O BI SEM ARTE E FILOSOFIA;83101850103;PG26LA223SD00;26 LV ALUNO EF1 2O ANO 3O BI SAE                                                ;FUND AI;2O ANO;Volume 03;Aluno
83101850103;SAE ALUNO EF1 2O ANO SAE 3O BI SEM ARTE E FILOSOFIA;83101850103;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101960103;SAE ALUNO EF1 2O ANO SAE 3O SEM FILOSOFIA;83101960103;-;-;-;-;-;-
83101960103;SAE ALUNO EF1 2O ANO SAE 3O SEM FILOSOFIA;83101960103;PG26LA223SD00;26 LV ALUNO EF1 2O ANO 3O BI SAE                                                ;FUND AI;2O ANO;Volume 03;Aluno
83101960103;SAE ALUNO EF1 2O ANO SAE 3O SEM FILOSOFIA;83101960103;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101960103;SAE ALUNO EF1 2O ANO SAE 3O SEM FILOSOFIA;83101960103;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
93101070103;DOM ALUNO EF1 2O ANO DOM BOSCO 3O BI;93101070103;-;-;-;-;-;-
93101070103;DOM ALUNO EF1 2O ANO DOM BOSCO 3O BI;93101070103;PG26LA223DB00;26 LV ALUNO EF1 2O ANO 3O BI DB                                                 ;FUND AI;2O ANO;Volume 03;Aluno
93101070103;DOM ALUNO EF1 2O ANO DOM BOSCO 3O BI;93101070103;PG26FA223DB00;26 FICHA ALUNO EF1 2O ANO 3O BI DB                                              ;FUND AI;2O ANO;Volume 03;Aluno
93101070103;DOM ALUNO EF1 2O ANO DOM BOSCO 3O BI;93101070103;PG26LA227DBA0;26 LV ALUNO EF1 2O ANO VOL 2 DB ARTE                                            ;FUND AI;2O ANO;Volume 02;Aluno
93101070103;DOM ALUNO EF1 2O ANO DOM BOSCO 3O BI;93101070103;PG26LA227DBW0;26 LV ALUNO EF1 2O ANO VOL 2 DB FILOSOFIA                                       ;FUND AI;2O ANO;Volume 02;Aluno
83101070203;CELLULA MATER ALUNO EF1 2O ANO CELLULA MATER 3O BI;83101070203;-;-;-;-;-;-
83101070203;CELLULA MATER ALUNO EF1 2O ANO CELLULA MATER 3O BI;83101070203;PG26LA223ZU00;26 LV ALUNO EF1 2O ANO 3O BI CELLULA MATER                                      ;FUND AI;2O ANO;Volume 03;Aluno
83101070203;CELLULA MATER ALUNO EF1 2O ANO CELLULA MATER 3O BI;83101070203;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101070203;CELLULA MATER ALUNO EF1 2O ANO CELLULA MATER 3O BI;83101070203;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101070203;CELLULA MATER ALUNO EF1 2O ANO CELLULA MATER 3O BI;83101070203;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83101071803;SECULO ALUNO EF1 2O ANO SECULO 3O BI;83101071803;-;-;-;-;-;-
83101071803;SECULO ALUNO EF1 2O ANO SECULO 3O BI;83101071803;PG26LA223SE00;26 LV ALUNO EF1 2O ANO 3O BI SECULO                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101071803;SECULO ALUNO EF1 2O ANO SECULO 3O BI;83101071803;PG26FA223SD00;26 FICHA ALUNO EF1 2O ANO 3O BI SAE                                             ;FUND AI;2O ANO;Volume 03;Aluno
83101071803;SECULO ALUNO EF1 2O ANO SECULO 3O BI;83101071803;PG26LA227SDA0;26 LV ALUNO EF1 2O ANO VOL 2 SAE ARTE                                           ;FUND AI;2O ANO;Volume 02;Aluno
83101071803;SECULO ALUNO EF1 2O ANO SECULO 3O BI;83101071803;PG26LA227SDW0;26 LV ALUNO EF1 2O ANO VOL 2 SAE FILOSOFIA                                      ;FUND AI;2O ANO;Volume 02;Aluno
83101072503;DOM BOSCO BALSA ALUNO EF1 2O ANO DOM BOSCO BALSA 3O BI;83101072503;-;-;-;-;-;-
